sample_pair,feature,type,assigned_value,u_char,u_homo,u_lts,u_c,u_k,platform
F/P,P23327,informative,1.013,0.000,NA,NA,0.000,0.001,Olink
F/P,Q96MH7,certified,0.506,0.000,NA,NA,0.000,0.001,Olink
M/P,A8MVW0,certified,0.417,0.000,NA,NA,0.000,0.001,Olink
M/P,O00193,certified,0.132,0.001,NA,NA,0.001,0.001,SomaScan
F/P,Q8WWQ8,informative,1.010,0.001,NA,NA,0.001,0.002,Olink
M/P,P51809,certified,0.059,0.001,NA,NA,0.001,0.002,SomaScan
M/P,Q9ULV8,certified,0.113,0.001,NA,NA,0.001,0.003,SomaScan
Y/P,O95497,informative,1.128,0.002,NA,NA,0.002,0.003,Olink
X/P,Q9Y3E5,informative,0.918,0.002,NA,NA,0.002,0.003,SomaScan
M/P,Q7Z6G3,informative,0.994,0.002,NA,NA,0.002,0.004,Olink
F/P,Q96F24,certified,0.051,0.002,NA,NA,0.002,0.004,SomaScan
Y/P,Q9NRP2,informative,1.021,0.002,NA,NA,0.002,0.004,SomaScan
X/P,Q15375,certified,0.921,0.002,NA,NA,0.002,0.004,SomaScan
M/P,P04637,certified,0.116,0.002,NA,NA,0.002,0.004,SomaScan
M/P,Q9NWS0,informative,1.039,0.002,NA,NA,0.002,0.004,SomaScan
X/P,Q9UKA1,informative,0.982,0.002,NA,NA,0.002,0.004,SomaScan
X/P,P48594,certified,0.898,0.002,NA,NA,0.002,0.005,SomaScan
M/P,O75031,informative,0.037,0.002,NA,NA,0.002,0.005,SomaScan
F/P,P41970,certified,0.737,0.002,NA,NA,0.002,0.005,SomaScan
F/P,O43663,certified,0.384,0.002,NA,NA,0.002,0.005,SomaScan
F/P,P16435,certified,0.923,0.002,NA,NA,0.002,0.005,SomaScan
M/P,Q96GK7,certified,0.890,0.002,NA,NA,0.002,0.005,SomaScan
M/P,Q07021,informative,0.980,0.002,NA,NA,0.002,0.005,SomaScan
M/P,Q9BTN0,certified,0.084,0.002,NA,NA,0.002,0.005,SomaScan
Y/P,Q6UWV6,informative,0.850,0.002,NA,NA,0.002,0.005,Olink
X/P,Q16595,informative,1.021,0.002,NA,NA,0.002,0.005,SomaScan
Y/P,Q16620,informative,0.777,0.002,NA,NA,0.002,0.005,Olink
M/P,P25189,certified,0.810,0.002,NA,NA,0.002,0.005,SomaScan
M/P,Q15393,certified,0.329,0.002,NA,NA,0.002,0.005,SomaScan
F/P,Q96CG8,informative,0.901,0.002,NA,NA,0.002,0.005,Olink
X/P,Q9H9S0,certified,0.755,0.002,NA,NA,0.002,0.005,SomaScan
X/P,Q9NS18,informative,1.019,0.002,NA,NA,0.002,0.005,SomaScan
F/P,Q9NRY6,informative,1.011,0.002,NA,NA,0.002,0.005,SomaScan
Y/P,P28749,informative,1.021,0.002,NA,NA,0.002,0.005,SomaScan
F/P,P0C8F1,certified,0.816,0.002,NA,NA,0.002,0.005,SomaScan
F/P,Q9HA38,informative,0.020,0.002,NA,NA,0.002,0.005,Olink
X/P,Q9NXJ5,informative,1.017,0.002,NA,NA,0.002,0.005,SomaScan
Y/P,Q9UKG1,informative,0.986,0.002,NA,NA,0.002,0.005,SomaScan
X/P,Q6UXK5,informative,1.014,0.003,NA,NA,0.003,0.005,SomaScan
Y/P,Q9BXM0,informative,1.034,0.003,NA,NA,0.003,0.005,SomaScan
Y/P,P84101,informative,1.004,0.003,NA,NA,0.003,0.005,SomaScan
X/P,Q9BT76,informative,0.994,0.003,NA,NA,0.003,0.005,SomaScan
X/P,O15151,informative,0.953,0.003,NA,NA,0.003,0.005,SomaScan
Y/P,Q10981,informative,0.991,0.003,NA,NA,0.003,0.005,SomaScan
F/P,Q86W56,informative,1.049,0.003,NA,NA,0.003,0.005,SomaScan
F/P,P57086,informative,1.006,0.003,NA,NA,0.003,0.005,SomaScan
M/P,Q08495,certified,0.117,0.003,NA,NA,0.003,0.005,SomaScan
F/P,Q9H6J7,informative,1.090,0.003,NA,NA,0.003,0.005,SomaScan
M/P,Q16576,certified,0.488,0.003,NA,NA,0.003,0.005,SomaScan
M/P,P49675,informative,0.939,0.003,NA,NA,0.003,0.005,SomaScan
M/P,P31268,informative,1.000,0.003,NA,NA,0.003,0.005,SomaScan
F/P,Q96DC8,certified,0.890,0.003,NA,NA,0.003,0.005,SomaScan
X/P,O43663,certified,0.629,0.003,NA,NA,0.003,0.005,SomaScan
Y/P,Q2T9L4,informative,0.964,0.003,NA,NA,0.003,0.005,SomaScan
F/P,Q9UN72,certified,0.682,0.003,NA,NA,0.003,0.005,SomaScan
X/P,O95866,informative,1.005,0.003,NA,NA,0.003,0.005,SomaScan
X/P,Q58F21,informative,1.032,0.003,NA,NA,0.003,0.005,SomaScan
M/P,O43819,informative,1.020,0.003,NA,NA,0.003,0.005,SomaScan
M/P,P02818,certified,0.511,0.003,NA,NA,0.003,0.005,SomaScan
Y/P,A6NC98,informative,0.999,0.003,NA,NA,0.003,0.005,SomaScan
M/P,Q96DZ1,certified,0.765,0.003,NA,NA,0.003,0.005,SomaScan
M/P,O43252,informative,0.978,0.003,NA,NA,0.003,0.005,SomaScan
X/P,P31321,informative,0.878,0.003,NA,NA,0.003,0.005,SomaScan
M/P,Q9Y2D1,informative,0.986,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,O15085,informative,0.970,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q00973,informative,0.993,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,P20916,informative,0.958,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q15697,certified,0.868,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q8WYQ3,informative,0.954,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q9BRQ6,informative,0.974,0.003,NA,NA,0.003,0.006,SomaScan
X/P,P62269,informative,1.007,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q9H7D0,informative,0.994,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q9NZ42,informative,1.020,0.003,NA,NA,0.003,0.006,SomaScan
X/P,O00422,informative,0.997,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q9P2A4,informative,1.008,0.003,NA,NA,0.003,0.006,SomaScan
X/P,P43686,informative,0.968,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q15459,informative,1.025,0.003,NA,NA,0.003,0.006,SomaScan
F/P,P29034,informative,1.001,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q9H1K4,informative,0.999,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q9BPZ7,informative,0.996,0.003,NA,NA,0.003,0.006,SomaScan
X/P,O95365,certified,0.981,0.003,NA,NA,0.003,0.006,SomaScan
M/P,P25686,certified,0.258,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q9NZH7,certified,0.927,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q9BZ71,informative,0.994,0.003,NA,NA,0.003,0.006,SomaScan
X/P,P47813,informative,1.003,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q16533,informative,0.988,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q9Y3T6,informative,0.999,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q8IUA0,informative,1.030,0.003,NA,NA,0.003,0.006,SomaScan
M/P,P04000,informative,1.005,0.003,NA,NA,0.003,0.006,SomaScan
M/P,O43903,certified,0.338,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q15327,informative,1.010,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q8NFP7,informative,0.998,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q8WUD1,certified,0.825,0.003,NA,NA,0.003,0.006,SomaScan
X/P,P47712,informative,0.953,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q9UP65,informative,1.009,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q9NQP4,informative,0.991,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,P0DI81,informative,1.018,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,O60239,informative,0.987,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q9Y4C5,informative,1.009,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q9UIF7,certified,0.629,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q5TA50,informative,1.040,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q96LR4,informative,1.041,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q13564,informative,1.001,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q5H943,certified,0.246,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q8IUB3,informative,1.021,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q99929,informative,1.026,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q9BVI0,certified,0.626,0.003,NA,NA,0.003,0.006,SomaScan
X/P,P26232,informative,0.998,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q9Y6R0,informative,1.009,0.003,NA,NA,0.003,0.006,SomaScan
X/P,P07288,certified,0.690,0.003,NA,NA,0.003,0.006,SomaScan
X/P,P54274,informative,1.002,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q9UL63,informative,0.967,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q10981,informative,1.029,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q96N21,certified,0.985,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q9ULV8,certified,0.540,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,P62263,informative,1.026,0.003,NA,NA,0.003,0.006,SomaScan
F/P,A8K7I4,informative,0.942,0.003,NA,NA,0.003,0.006,SomaScan
M/P,P15336,informative,0.203,0.003,NA,NA,0.003,0.006,Olink
M/P,P23468,informative,0.958,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q86YT9,informative,1.017,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q7L0X0,informative,0.995,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q9P0U3,informative,1.036,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q9UGP8,certified,0.722,0.003,NA,NA,0.003,0.006,SomaScan
F/P,P56177,informative,1.028,0.003,NA,NA,0.003,0.006,SomaScan
M/P,P09972,certified,0.625,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q9Y3C7,informative,0.998,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,P15515,informative,1.067,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,P52948,informative,0.967,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q5T089,certified,0.966,0.003,NA,NA,0.003,0.006,SomaScan
M/P,P57075,informative,1.006,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q9BRX8,informative,1.027,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q5THR3,informative,1.028,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q9HCM4,informative,1.011,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,P49765,informative,1.007,0.003,NA,NA,0.003,0.006,SomaScan
X/P,P35243,informative,0.997,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q96HT8,informative,0.966,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q92733,informative,0.972,0.003,NA,NA,0.003,0.006,SomaScan
X/P,O15116,informative,0.984,0.003,NA,NA,0.003,0.006,SomaScan
F/P,P16885,informative,0.922,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q15633,informative,0.946,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q8N3H0,certified,0.943,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q6UXK5,informative,1.047,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q15797,informative,0.942,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q9UKI8,informative,0.990,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q9Y223,informative,0.998,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q99496,informative,0.984,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q86XR7,informative,0.865,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q9H3T2,informative,0.961,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q96EP0,certified,0.876,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q9Y219,informative,0.998,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q15181,informative,0.963,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q12837,informative,0.953,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q8IV56,informative,0.983,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q96CM8,informative,0.973,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q9NRM6,informative,1.068,0.003,NA,NA,0.003,0.006,SomaScan
F/P,P32926,informative,1.024,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q15811,certified,0.797,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q15306,informative,0.978,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,Q9H019,informative,1.026,0.003,NA,NA,0.003,0.006,SomaScan
M/P,Q92783,informative,1.038,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q9H334,informative,1.000,0.003,NA,NA,0.003,0.006,SomaScan
F/P,Q9NY72,certified,0.700,0.003,NA,NA,0.003,0.006,SomaScan
X/P,Q9NP87,certified,0.819,0.003,NA,NA,0.003,0.006,SomaScan
Y/P,P19429,certified,0.868,0.003,NA,NA,0.003,0.007,SomaScan
M/P,Q96DT7,certified,1.035,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q969R8,certified,0.915,0.003,NA,NA,0.003,0.007,SomaScan
M/P,O15533,informative,1.045,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q8N9V6,certified,1.371,0.003,NA,NA,0.003,0.007,Olink
X/P,P21580,informative,0.942,0.003,NA,NA,0.003,0.007,SomaScan
M/P,P00749,informative,0.985,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q8NFZ4,informative,1.057,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q8IVV7,certified,0.933,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q92623,certified,0.586,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q9Y2N7,informative,1.001,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q8IUB3,informative,0.964,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q9UKQ2,informative,0.987,0.003,NA,NA,0.003,0.007,SomaScan
M/P,P01242,certified,0.578,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q9H7X2,informative,1.012,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,A6NEY3,informative,1.002,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q15024,informative,0.999,0.003,NA,NA,0.003,0.007,SomaScan
X/P,P55789,informative,0.947,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q96IZ5,informative,0.969,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q9BSA4,informative,1.004,0.003,NA,NA,0.003,0.007,SomaScan
M/P,Q8IY82,certified,0.338,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q96CS2,certified,0.657,0.003,NA,NA,0.003,0.007,SomaScan
X/P,O43432,informative,0.973,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q8N7N1,informative,0.995,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q13017,informative,1.030,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q96DT7,certified,0.961,0.003,NA,NA,0.003,0.007,SomaScan
M/P,Q9ULK0,certified,0.948,0.003,NA,NA,0.003,0.007,SomaScan
M/P,Q9BZ71,informative,1.003,0.003,NA,NA,0.003,0.007,SomaScan
X/P,O15541,certified,0.917,0.003,NA,NA,0.003,0.007,SomaScan
X/P,P78368,informative,0.999,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q9BWS9,informative,0.971,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q96HG1,informative,1.002,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,P50053,informative,1.023,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,P31371,informative,0.997,0.003,NA,NA,0.003,0.007,SomaScan
X/P,P43378,informative,1.010,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,O75935,informative,1.040,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q9GZT9,informative,1.033,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q5T5A8,informative,0.982,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q9UPV9,informative,0.996,0.003,NA,NA,0.003,0.007,SomaScan
M/P,O75347,informative,0.985,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q14442,informative,0.987,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q969R8,certified,0.955,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,P40818,informative,1.040,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q8N183,certified,0.931,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q9BWG6,informative,1.001,0.003,NA,NA,0.003,0.007,SomaScan
X/P,P11215,informative,0.996,0.003,NA,NA,0.003,0.007,SomaScan
X/P,P13612,informative,0.981,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q8N807,informative,1.015,0.003,NA,NA,0.003,0.007,SomaScan
F/P,P11464,certified,0.842,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q9H074,informative,0.987,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q5R372,informative,1.002,0.003,NA,NA,0.003,0.007,SomaScan
X/P,P05062,informative,0.957,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q92637,informative,1.000,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q9H8W3,informative,0.999,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q9NRY6,informative,1.002,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q9NZR4,informative,0.983,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,P02818,certified,0.750,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q5H943,certified,0.605,0.003,NA,NA,0.003,0.007,SomaScan
M/P,Q13490,certified,0.908,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,P07148,informative,1.019,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q9BV57,informative,0.968,0.003,NA,NA,0.003,0.007,SomaScan
X/P,P01562,informative,1.005,0.003,NA,NA,0.003,0.007,SomaScan
F/P,O15392,informative,1.007,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q12923,informative,0.969,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q9UHV9,informative,0.980,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q96MF4,informative,0.956,0.003,NA,NA,0.003,0.007,SomaScan
M/P,Q8WXH6,informative,0.997,0.003,NA,NA,0.003,0.007,SomaScan
M/P,Q6NTE8,informative,1.000,0.003,NA,NA,0.003,0.007,SomaScan
M/P,Q14566,certified,1.036,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q9Y3B3,informative,1.003,0.003,NA,NA,0.003,0.007,SomaScan
M/P,P09038,certified,0.464,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q96QH8,informative,0.974,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q4VCS5,informative,0.997,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q8NC54,informative,1.049,0.003,NA,NA,0.003,0.007,SomaScan
M/P,Q16533,informative,0.994,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q15327,informative,1.014,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,P15529,informative,1.017,0.003,NA,NA,0.003,0.007,Olink
F/P,Q5JUR7,informative,1.006,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q9HBL8,certified,0.427,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q96B02,informative,1.000,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,P43026,informative,1.014,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q9Y6K9,informative,1.013,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,A6NFY7,informative,1.018,0.003,NA,NA,0.003,0.007,SomaScan
M/P,P48436,informative,0.989,0.003,NA,NA,0.003,0.007,SomaScan
M/P,Q5ST30,informative,1.009,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q96P16,informative,1.010,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q9UMF0,informative,0.971,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,O60238,certified,0.950,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q9UP52,informative,0.970,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q9UN36,informative,0.983,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q11203,informative,0.958,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q96C01,informative,1.026,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q15119,informative,0.967,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q5JS13,certified,0.809,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,P25686,certified,0.616,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q9BZA5,informative,1.000,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q8IVP5,informative,1.023,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q96QD5,certified,1.034,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q9UJW8,informative,0.987,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,P05162,informative,0.999,0.003,NA,NA,0.003,0.007,SomaScan
M/P,Q9Y6Q2,informative,1.062,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q96PL5,informative,0.949,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q15811,certified,1.083,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q8WYK1,informative,0.993,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q8NC96,certified,1.029,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,Q9UER7,informative,0.997,0.003,NA,NA,0.003,0.007,SomaScan
F/P,Q9H3H9,informative,1.005,0.003,NA,NA,0.003,0.007,SomaScan
X/P,Q99523,certified,0.942,0.003,NA,NA,0.003,0.007,SomaScan
M/P,Q86V86,certified,0.896,0.003,NA,NA,0.003,0.007,SomaScan
Y/P,P0C6S8,informative,1.026,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q96EP0,informative,0.937,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q96LL9,informative,1.068,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q8WTU0,informative,0.925,0.004,NA,NA,0.004,0.007,SomaScan
X/P,P47756,informative,0.942,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q9Y2C3,informative,0.966,0.004,NA,NA,0.004,0.007,SomaScan
F/P,Q96AE4,certified,0.510,0.004,NA,NA,0.004,0.007,SomaScan
M/P,Q8N807,informative,0.987,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q9Y6M5,informative,1.007,0.004,NA,NA,0.004,0.007,SomaScan
F/P,P13473,informative,0.997,0.004,NA,NA,0.004,0.007,SomaScan
X/P,O94905,informative,1.005,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q9NZ42,informative,0.999,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q9UKI8,informative,0.998,0.004,NA,NA,0.004,0.007,SomaScan
M/P,P43080,informative,1.027,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q9HA90,informative,1.007,0.004,NA,NA,0.004,0.007,SomaScan
M/P,Q9NZD2,informative,1.045,0.004,NA,NA,0.004,0.007,SomaScan
F/P,P23582,informative,1.001,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q9H074,informative,1.019,0.004,NA,NA,0.004,0.007,SomaScan
X/P,P46109,informative,0.990,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q13510,informative,0.977,0.004,NA,NA,0.004,0.007,SomaScan
F/P,P24001,certified,1.095,0.004,NA,NA,0.004,0.007,SomaScan
X/P,P00325,informative,0.961,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q96BN2,informative,0.946,0.004,NA,NA,0.004,0.007,SomaScan
M/P,Q9UKD2,informative,1.072,0.004,NA,NA,0.004,0.007,SomaScan
F/P,P37802,informative,0.915,0.004,NA,NA,0.004,0.007,SomaScan
X/P,P23743,informative,0.974,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q12837,informative,1.025,0.004,NA,NA,0.004,0.007,SomaScan
M/P,Q92623,certified,0.230,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,P05783,informative,0.959,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q9UPT9,informative,0.984,0.004,NA,NA,0.004,0.007,SomaScan
F/P,P05186,informative,0.983,0.004,NA,NA,0.004,0.007,SomaScan
F/P,Q86TU7,informative,0.984,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q9NYX4,informative,0.994,0.004,NA,NA,0.004,0.007,SomaScan
M/P,Q9BY50,informative,0.989,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q13203,informative,1.011,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q5JXC2,certified,0.949,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q9NRY2,informative,1.023,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,P04181,informative,0.996,0.004,NA,NA,0.004,0.007,SomaScan
F/P,Q96HZ4,informative,1.022,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q9BTK6,certified,0.942,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q8IV38,informative,1.021,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,P04085,informative,0.996,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q9BPU6,informative,0.996,0.004,NA,NA,0.004,0.007,SomaScan
M/P,Q8NBK3,certified,0.893,0.004,NA,NA,0.004,0.007,SomaScan
F/P,P35228,informative,0.988,0.004,NA,NA,0.004,0.007,SomaScan
M/P,Q9H9V4,informative,0.944,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q9ULV1,informative,0.945,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,P52594,informative,1.039,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q9BQP9,informative,1.012,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q8IZL9,informative,0.940,0.004,NA,NA,0.004,0.007,SomaScan
X/P,P09912,informative,1.007,0.004,NA,NA,0.004,0.007,SomaScan
M/P,Q2L4Q9,informative,1.014,0.004,NA,NA,0.004,0.007,SomaScan
M/P,Q15853,informative,1.064,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q7Z2V1,informative,0.932,0.004,NA,NA,0.004,0.007,SomaScan
M/P,P35754,informative,1.001,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q9Y6X2,certified,0.903,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q96AZ6,informative,0.993,0.004,NA,NA,0.004,0.007,SomaScan
M/P,Q8IUB3,certified,1.047,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q15811,certified,0.911,0.004,NA,NA,0.004,0.007,SomaScan
M/P,Q15493,informative,0.987,0.004,NA,NA,0.004,0.007,SomaScan
Y/P,Q9UKD2,informative,1.034,0.004,NA,NA,0.004,0.007,SomaScan
M/P,Q92608,informative,0.932,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q99496,informative,0.994,0.004,NA,NA,0.004,0.007,SomaScan
M/P,O75431,certified,1.132,0.004,NA,NA,0.004,0.007,SomaScan
X/P,Q15782,informative,0.999,0.004,NA,NA,0.004,0.007,SomaScan
